time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:41:23.000,13020153.0,105.5,0.0,206701.3396226415,49782663950.23113,,,212
2021-08-14 00:41:35.000,13020154.0,201.5,0.0,152288.35643564357,56306580954.81683,78549214561.98347,11029266475.206612,404
2021-08-14 00:42:04.000,13020155.0,55.0,0.0,166232.46846846846,93430368170.68468,76037237052.63158,8807569635.789474,111
2021-08-14 00:42:40.000,13020156.0,173.5,0.0,144073.2040229885,56988688721.22988,80303339962.96297,10937235298.796297,348
2021-08-14 00:42:48.000,13020157.0,111.0,0.0,203609.85650224215,66221999503.51569,80205217910.89108,4480681233.663366,223
2021-08-14 00:43:07.000,13020158.0,23.0,0.0,219052.1489361702,58848332170.61702,82239594769.23077,9021582030.76923,47
2021-08-14 00:43:10.000,13020159.0,165.5,0.0,187970.23493975904,60463465404.31024,86183374288.13559,18345326242.372883,332
2021-08-14 00:43:46.000,13020160.0,22.5,0.0,218707.28260869565,62411001134.804344,83448341523.80952,6552100694.285714,46
2021-08-14 00:43:50.000,13020161.0,77.0,0.0,152442.8,57450842987.47742,88410320000.0,13706749277.777779,155
2021-08-14 00:44:01.000,13020162.0,129.0,0.0,184891.75675675675,64394971430.50965,82601039745.45454,13446435335.818182,259
2021-08-14 00:44:20.000,13020163.0,148.0,0.0,212256.6632996633,64271529831.535355,93410508201.75438,4618192177.368421,297
2021-08-14 00:44:55.000,13020164.0,36.0,0.0,215577.94520547945,72692472792.9452,86886598857.14285,9905938571.428572,73
2021-08-14 00:45:07.000,13020165.0,112.5,215.8181818181818,188554.94690265486,61566976113.07964,92033836311.4754,11226215554.09836,226
2021-08-14 00:45:22.000,13020166.0,21.0,367.96666666666664,244999.67441860464,68220890541.139534,77756462700.0,9522903509.0,43
2021-08-14 00:45:31.000,13020167.0,88.0,0.0,226008.9548022599,57462412033.9548,79940459897.95918,14520624716.32653,177
2021-08-14 00:45:32.000,13020168.0,71.5,0.0,169653.38888888888,69101622803.43056,84113401114.28572,15277436720.0,144
2021-08-14 00:45:49.000,13020169.0,39.0,0.0,265083.5063291139,69160426976.91139,111910883500.0,33170058950.0,79
2021-08-14 00:45:59.000,13020170.0,94.0,0.0,261014.10582010582,54791299152.39683,87754013058.82353,17866168676.47059,189
